Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Karlovačka;Karlovac;Tounj;1.150;612;538;155;995;155;274;119;602;-;155;537;441;17;-;1.002;528;474;125;877
Karlovačka;Karlovac;Vojnić;4.764;2.385;2.379;682;4.082;682;864;463;2.754;1;682;2.191;1.532;187;172;3.602;1.820;1.782;427;3.175
Karlovačka;Karlovac;Žakanje;1.889;937;952;237;1.652;237;695;166;791;-;237;678;848;126;-;1.732;846;886;247;1.485
Varaždinska;Varaždin;Bednja;3.992;1.987;2.005;576;3.416;576;1.181;297;1.938;-;576;1.602;1.618;194;2;3.389;1.724;1.665;376;3.013
Varaždinska;Varaždin;Beretinec;2.176;1.098;1.078;344;1.832;344;842;139;851;-;344;728;1.000;104;-;2.049;1.030;1.019;284;1.765
Varaždinska;Varaždin;Breznica;2.200;1.086;1.114;383;1.817;383;710;98;1.009;-;383;940;797;80;-;1.970;993;977;319;1.651
Varaždinska;Varaždin;Breznički Hum;1.356;633;723;194;1.162;194;437;72;653;-;194;589;503;70;-;1.132;545;587;159;973
Varaždinska;Varaždin;Cestica;5.806;2.803;3.003;1.001;4.805;1.001;1.862;393;2.550;-;1.001;2.163;2.383;240;19;5.425;2.609;2.816;879;4.546
Varaždinska;Varaždin;Donja Voća;2.443;1.251;1.192;373;2.070;373;679;251;1.134;6;373;1.096;904;67;3;2.030;1.056;974;262;1.768
Varaždinska;Varaždin;Gornji Kneginec;5.349;2.643;2.706;813;4.536;813;2.048;373;2.111;4;813;1.543;2.559;422;12;4.900;2.416;2.484;671;4.229
Varaždinska;Varaždin;Ivanec;13.758;6.694;7.064;2.145;11.613;2.145;5.229;824;5.556;4;2.145;3.597;6.783;1.229;4;12.723;6.129;6.594;1.773;10.950
Varaždinska;Varaždin;Jalžabet;3.615;1.722;1.893;537;3.078;537;1.136;139;1.801;2;537;1.526;1.347;166;39;3.183;1.561;1.622;382;2.801
Varaždinska;Varaždin;Klenovnik;2.022;1.033;989;306;1.716;306;768;193;755;-;306;730;878;108;-;1.793;896;897;235;1.558
Varaždinska;Varaždin;Lepoglava;8.283;4.534;3.749;1.186;7.097;1.186;2.962;491;3.644;-;1.186;2.514;3.956;627;-;6.945;3.699;3.246;860;6.085
Varaždinska;Varaždin;Ludbreg;8.478;4.085;4.393;1.321;7.157;1.321;3.236;479;3.436;6;1.321;2.413;3.835;904;5;8.477;4.052;4.425;1.247;7.230
Varaždinska;Varaždin;Ljubešćica;1.858;901;957;312;1.546;312;623;96;820;7;312;671;768;104;3;1.689;826;863;243;1.446
Varaždinska;Varaždin;Mali Bukovec;2.212;1.058;1.154;368;1.844;368;756;84;1.003;1;368;1.077;678;87;2;1.809;888;921;252;1.557
Varaždinska;Varaždin;Martijanec;3.843;1.830;2.013;561;3.282;561;1.458;180;1.644;-;561;1.604;1.535;143;-;2.638;1.265;1.373;364;2.274
Varaždinska;Varaždin;Maruševec;6.381;3.132;3.249;927;5.454;927;2.431;356;2.663;4;927;2.252;2.835;363;4;5.682;2.820;2.862;810;4.872
Varaždinska;Varaždin;Novi Marof;13.246;6.527;6.719;2.128;11.118;2.128;4.924;755;5.437;2;2.128;3.811;6.320;986;1;11.795;5.827;5.968;1.642;10.153
Varaždinska;Varaždin;Petrijanec;4.812;2.343;2.469;963;3.849;963;1.709;330;1.810;-;963;1.750;1.900;196;3;4.553;2.245;2.308;869;3.684
Varaždinska;Varaždin;Sračinec;4.842;2.397;2.445;853;3.989;853;1.877;305;1.796;11;853;1.464;2.278;232;15;4.678;2.312;2.366;792;3.886
Varaždinska;Varaždin;Sveti Đurđ;3.804;1.872;1.932;666;3.138;666;1.238;198;1.702;-;666;1.714;1.297;125;2;3.326;1.661;1.665;466;2.860
Varaždinska;Varaždin;Sveti Ilija;3.511;1.717;1.794;571;2.940;571;1.326;193;1.421;-;571;1.059;1.645;236;-;3.242;1.587;1.655;462;2.780
Varaždinska;Varaždin;Trnovec Bartolovečki;6.884;3.316;3.568;1.183;5.701;1.183;2.806;361;2.534;-;1.183;2.089;3.183;427;2;6.145;2.953;3.192;839;5.306
Varaždinska;Varaždin;Varaždin;46.946;22.140;24.806;6.538;40.408;6.538;18.525;2.704;19.171;8;6.538;8.072;22.825;9.488;23;43.782;20.630;23.152;5.728;38.054
Varaždinska;Varaždin;Varaždinske Toplice;6.364;3.110;3.254;942;5.422;942;2.414;309;2.689;10;942;2.182;2.694;536;10;5.537;2.647;2.890;734;4.803
Varaždinska;Varaždin;Veliki Bukovec;1.438;675;763;240;1.198;240;464;37;674;23;240;627;481;66;24;1.325;656;669;160;1.165
Varaždinska;Varaždin;Vidovec;5.425;2.670;2.755;906;4.519;906;2.201;273;2.045;-;906;1.914;2.313;291;1;4.915;2.406;2.509;693;4.222
Varaždinska;Varaždin;Vinica;3.389;1.663;1.726;531;2.858;531;1.234;212;1.412;-;531;1.015;1.649;192;2;3.020;1.479;1.541;437;2.583
Varaždinska;Varaždin;Visoko;1.518;725;793;249;1.269;249;434;77;758;-;249;760;450;59;-;1.335;637;698;215;1.120
Koprivničko-križevačka;Koprivnica-Križevci;Drnje;1.863;921;942;295;1.568;295;788;118;662;-;295;785;677;106;-;1.533;746;787;220;1.313
Koprivničko-križevačka;Koprivnica-Križevci;Đelekovec;1.533;736;797;179;1.354;179;533;64;757;-;179;723;521;110;-;1.281;616;665;137;1.144
Koprivničko-križevačka;Koprivnica-Križevci;Đurđevac;8.264;4.003;4.261;1.345;6.919;1.345;2.791;626;3.499;3;1.345;2.857;3.218;843;1;7.378;3.591;3.787;1.194;6.184
Koprivničko-križevačka;Koprivnica-Križevci;Ferdinandovac;1.750;856;894;249;1.501;249;625;108;768;-;249;869;547;85;-;1.415;696;719;185;1.230
Koprivničko-križevačka;Koprivnica-Križevci;Gola;2.431;1.223;1.208;408;2.023;408;927;72;1.024;-;408;1.409;568;46;-;2.078;1.062;1.016;332;1.746
Koprivničko-križevačka;Koprivnica-Križevci;Gornja Rijeka;1.779;881;898;351;1.428;351;692;129;607;-;351;891;499;36;2;1.559;783;776;249;1.310
Koprivničko-križevačka;Koprivnica-Križevci;Hlebine;1.304;643;661;198;1.106;198;447;76;583;-;198;676;375;55;-;1.180;572;608;197;983
